Date,Price,Open,High,Low,Vol.,Change %
2019/10/17,218.62,219.77,220.16,217.48,326.87K,-0.10%
2019/10/18,216.31,218.19,218.45,214.81,317.72K,-1.06%
2019/10/21,218.48,217.54,218.64,216.89,240.54K,1.00%
2019/10/22,215.52,218.98,219.67,215.45,354.88K,-1.35%
2019/10/23,215.74,215,216.03,214.5,248.58K,0.10%
2019/10/24,219.04,218,219.18,217.36,256.79K,1.53%
2019/10/25,221.68,219,221.81,219,278.29K,1.21%
2019/10/28,224.22,223.22,224.47,223.13,862.48K,1.15%
2019/10/29,222.4,224.17,224.49,222.4,295.78K,-0.81%
2019/10/30,223.9,223.04,224.1,221.7,348.62K,0.67%
2019/10/31,223.64,224.38,224.41,222.29,343.22K,-0.12%
2019/11/1,226.55,224.58,226.55,224.13,569.04K,1.30%
2019/11/4,227.58,228.35,228.45,227.23,370.79K,0.45%
2019/11/5,227.36,228.23,228.23,226.6,477.36K,-0.10%
2019/11/6,227.13,227.37,227.37,226.03,353.81K,-0.10%
2019/11/7,228.97,228.76,230.23,228.37,442.70K,0.81%
2019/11/8,230.2,228.27,230.2,227.46,341.07K,0.54%
2019/11/11,230.49,228.89,230.73,228.61,323.38K,0.13%
2019/11/12,231.22,230.69,232,230.18,386.72K,0.32%
2019/11/13,231.74,230.23,231.89,230.22,299.30K,0.22%
2019/11/14,231.46,230.91,231.56,230.3,450.78K,-0.12%
2019/11/15,233.39,232.98,233.4,232.35,320.22K,0.83%
2019/11/18,233.94,233.28,234.36,232.4,344.26K,0.24%
2019/11/19,234.71,234.81,235.34,233.66,599.49K,0.33%
2019/11/20,233.48,234.07,234.95,231.65,809.67K,-0.52%
2019/11/21,232.21,233.27,233.28,231.74,363.06K,-0.54%
2019/11/22,232.15,232.99,233.33,231.19,345.39K,-0.03%
2019/11/25,235.56,233.13,235.6,232.79,2.04M,1.47%
2019/11/26,235.69,235.66,236.32,235.36,461.87K,0.06%
2019/11/27,237.15,236.49,237.15,235.85,321.52K,0.62%
2019/11/29,236.15,236.48,236.87,236.08,189.45K,-0.42%
2019/12/2,232.79,236.42,236.49,231.73,516.41K,-1.42%
2019/12/3,230.94,228.99,231.01,228.01,578.95K,-0.79%
2019/12/4,231.72,232.32,232.5,231.41,522.70K,0.34%
2019/12/5,232.36,232.52,232.76,231.4,353.98K,0.28%
2019/12/6,234.91,234.2,235.07,233.99,390.18K,1.10%
2019/12/9,233.7,234.55,235.15,233.58,304.96K,-0.52%
2019/12/10,233.6,233.95,234.77,233.21,730.28K,-0.04%
2019/12/11,235.14,234.2,235.25,233.64,342.08K,0.66%
2019/12/12,237.43,234.64,237.76,233.88,614.02K,0.97%
2019/12/13,238.97,237.64,239.5,236.85,540.44K,0.65%
2019/12/16,240.46,240.01,241.35,240,529.27K,0.62%
2019/12/17,240,240.94,240.99,239.57,497.95K,-0.19%
2019/12/18,240.08,240.37,240.93,239.89,405.99K,0.03%
2019/12/19,241.66,240.32,241.7,240.2,524.58K,0.66%
2019/12/20,243.01,243.11,243.34,242.47,519.66K,0.56%
2019/12/23,243.83,243.92,244.32,243.35,430.65K,0.34%
2019/12/24,243.85,244.1,244.24,243.27,234.60K,0.01%
2019/12/26,245.73,244.32,245.73,244.32,301.47K,0.77%
2019/12/27,245.64,246.71,246.75,244.93,349.47K,-0.04%
2019/12/30,244.18,245.5,245.63,242.1,507.14K,-0.59%
2019/12/31,244.85,243.31,245.05,243,374.33K,0.27%
2020/1/2,249.34,247.05,249.36,246.64,1.42M,1.83%
2020/1/3,246.72,245.93,248.39,245.9,1.63M,-1.05%
2020/1/6,247.54,244.43,247.63,243.84,525.61K,0.33%
2020/1/7,247.51,247.87,248.56,247.02,389.99K,-0.01%
2020/1/8,250.12,247.69,251.16,247.38,622.09K,1.05%
2020/1/9,252.93,252.31,253.02,251.08,576.94K,1.12%
2020/1/10,252.38,253.96,254.27,251.91,604.92K,-0.22%
2020/1/13,255.76,253.54,255.87,253.39,592.58K,1.34%
2020/1/14,254.4,255.91,256.19,254.12,965.63K,-0.53%
2020/1/15,254.61,254.69,255.99,253.82,747.81K,0.08%
2020/1/16,258.1,256.36,258.14,256.02,564.92K,1.37%
2020/1/17,259.63,259.23,259.77,257.83,541.75K,0.59%
2020/1/21,259.25,258.88,260.79,258.74,734.80K,-0.15%
2020/1/22,260.32,261.07,262.13,260.07,763.14K,0.41%
2020/1/23,261.61,260.47,261.61,259.41,464.06K,0.50%
2020/1/24,260.26,263.49,263.99,259.25,790.83K,-0.52%
2020/1/27,254.05,254.06,255.95,251.44,1.07M,-2.39%
2020/1/28,258.88,256.14,259.47,255.68,622.63K,1.90%
2020/1/29,259.14,260.82,261.37,258.38,648.08K,0.10%
2020/1/30,261.21,258.88,261.36,257.38,566.27K,0.80%
2020/1/31,254.18,259.97,260,253.27,942.12K,-2.69%
2020/2/3,257.37,254.45,257.89,254.22,975.16K,1.26%
